player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,RS,TOR,2328,1140,-2.436260196155887,.6131385032733567,-1.82312169288253,1.591655970322059,-3.747433511719838,-2.155777541397779,-1.764277502786721,-.2757414704926281,-2.040018973279349,.4090290814270167,.4090290814270167,0,-1.850761225085224,-.1752801033047617,-2.026041328389986,-.9571090487524517
Steven Adams,adamsst01,2023,RS,MEM,2391,1133,-.5372618008903516,4.171893120814262,3.634631319923911,4.199923516216243,.1822295976594548,4.382153113875698,.4187163306294813,3.548030689367943,3.966747019997424,3.891811736554575,3.891811736554575,0,.0278768093502636,3.566829375253483,3.594706184603747,.2379106018388283
Bam Adebayo,adebaba01,2023,PO,MIA,1192,598,-1.468045633981675,1.692868372712427,.2248227387307518,.7741489977977619,4.548487983040749,5.322636980838511,-1.176961169345248,2.366698408767305,1.189737239422057,1.23010850861906,0,1.23010850861906,.2161861810905505,1.569094052144753,1.785280233235303,-.761952817144665
Bam Adebayo,adebaba01,2023,RS,MIA,5252,2598,-1.856952433113082,2.661993658386387,.8050412252733052,1.909486570316237,2.211292201163266,4.120778771479502,-1.150384427968221,2.71708000216702,1.566695574198799,5.69616222610089,5.69616222610089,0,-.9582129589039631,2.653257293338089,1.695044334434126,-.4518745333494268
Ochai Agbaji,agbajoc01,2023,RS,UTA,2604,1209,-1.328228230200949,-2.197352329487604,-3.525580559688553,.6344272553782652,-.5678704076446554,.0665568477336098,-1.014980873183256,-1.96365561995862,-2.978636493141877,-.1413316071428403,-.1413316071428403,0,-1.157264859434881,-2.504081840442326,-3.661346699877206,.2156713150079063
Santi Aldama,aldamsa01,2023,PO,MEM,216,101,1.134252423482966,-4.827519409912343,-3.693266986429377,3.680589397088739,-11.2492097200194,-7.56862032293066,1.835642046077442,-6.483329410429279,-4.647687364351837,-.1004395800314665,0,-.1004395800314665,.5783162199974625,-7.602683363374782,-7.024367143377319,-.4052017436657354
Santi Aldama,aldamsa01,2023,RS,MEM,3608,1682,-1.153358367229087,-.1403990545897764,-1.293757421818863,-.4013497984320841,-.7411868570220209,-1.142536655454105,-1.072839695495359,-.3252571367766364,-1.398096832271995,1.159969927947545,1.159969927947545,0,-1.351760061507804,.2861695088109225,-1.065590552696882,-.0151754043605188
Nickeil Alexander-Walker,alexani01,2023,PO,MIN,292,148,-.0767535020423213,9.110292487930717,9.033538985888397,1.505362300448344,13.31742104380953,14.82278334425787,.2897072992300068,10.60750166204285,10.89720896127286,1.057648385152631,0,1.057648385152631,-1.254636030117983,12.46850741904788,11.2138713889299,-.4780813941346825
Nickeil Alexander-Walker,alexani01,2023,RS,UTA,1122,528,.2921494004872253,4.0787067482175,4.370856148704725,-2.346734967547041,1.787801030524151,-.5589339370228907,-.2561065227598392,3.882574924692906,3.626468401933066,1.733824244338812,1.733824244338812,0,.6759794464228075,2.873996682274288,3.549976128697095,.9457717600918711
Nickeil Alexander-Walker,alexani01,2023,RS,MIN,771,356,-.6564752503291758,2.230006188681867,1.573530938352691,-.665217396642826,-1.175231286783777,-1.840448683426603,-.6882465002193187,1.640123514784021,.9518770145647023,.6726360734502588,.6726360734502588,0,-.9743797316963358,.7729465978905701,-.2014331338057658,.0389862698488966
Grayson Allen,allengr01,2023,PO,MIL,320,149,2.070492717274005,-2.059540163195363,.0109525540786422,5.100958258210603,-2.771752799112724,2.329205459097879,2.788065903581743,-2.244986310617493,.5430795929642498,.2593862015580987,0,.2593862015580987,2.524505859248128,-4.697020778585536,-2.172514919337408,.45592797907736
Grayson Allen,allengr01,2023,RS,MIL,4214,1972,-.208145026260898,.4327685750435316,.2246235487826337,.1694473275817706,-.3257132078250031,-.1562658802432326,-.1393823390128771,.2436694568824,.1042871178695229,2.882382888579037,2.882382888579037,0,.1157847774286938,.359768300493263,.4755530779219568,.3740909575074481
Jarrett Allen,allenja01,2023,PO,CLE,364,191,-1.656055482272099,1.374613024795807,-.2814424574762913,9.025636257526353,-4.921454980851853,4.1041812766745,.5430793875597025,.070261671244549,.6133410588042516,.3303525265625177,0,.3303525265625177,-1.909186361321054,-.6082941181113852,-2.517480479432439,-2.234972212834518
Jarrett Allen,allenja01,2023,RS,CLE,4469,2220,-1.31197574073088,1.663114735805336,.3511389950744563,2.83172872608855,2.212154240429641,5.043882966518192,-.5408707956500282,1.815147580448081,1.274276784798053,4.538160527464194,4.538160527464194,0,-.2189869244971,2.525767880300106,2.306780955803006,-.440940490174502
Jose Alvarado,alvarjo01,2023,RS,NOP,2778,1310,.0385681908320197,1.396988925363539,1.435557116195559,-.6774111151104838,3.380928809824706,2.703517694714222,-.1041504363034767,1.866544085714921,1.762393649411444,3.02553203218582,3.02553203218582,0,-.4326652061255278,1.928085084205767,1.495419878080239,.321939888425179
Kyle Anderson,anderky01,2023,PO,MIN,214,104,-1.742606141831223,-.3372970286220887,-2.079903170453312,-7.585363520852836,-1.447996078123345,-9.033359598976181,-3.026003607361045,-.537451293511197,-3.563454900872242,-.0452074084314396,0,-.0452074084314396,-3.651257105814536,2.771282887405694,-.8799742184088424,1.528033852911022
Kyle Anderson,anderky01,2023,RS,MIN,4145,1957,.0012714285569072,1.336491977287477,1.337763405844384,1.992617398835757,.5092850782257825,2.501902477061539,.4311581652474026,1.23326950168113,1.664427666928533,4.390414524043672,4.390414524043672,0,-.2766313622604805,1.240179331860016,.9635479695995356,-.394359555669303
Giannis Antetokounmpo,antetgi01,2023,PO,MIL,204,91,-3.862046719367304,-6.830508163938637,-10.69255488330594,-10.74762277631607,2.809820502338548,-7.937802273977523,-5.544596278963183,-5.125537944348249,-10.67013422331143,-.3896553237871733,0,-.3896553237871733,-3.7005626447131,-7.559669698614243,-11.26023234332734,2.700068914789451
Giannis Antetokounmpo,antetgi01,2023,RS,MIL,4370,2024,3.70060724156377,2.344750037117117,6.045357278680887,3.25988790538363,1.78852310883895,5.04841101422258,3.805323690023133,2.315767525099487,6.12109121512262,9.304276044038126,9.304276044038126,0,3.794751158621829,1.645690099593692,5.440441258215521,1.582095617110169
Thanasis Antetokounmpo,antetth01,2023,PO,MIL,11,5,-8.238364818002326,-15.61564793736266,-23.85401275536498,6.84498543189336,-4.702494693442326,2.142490738451033,-5.632937862374658,-14.08265780711174,-19.71559566948639,-.0438745286554522,0,-.0438745286554522,-6.809863320081766,-19.14261821559294,-25.95248153567471,-1.679782223087446
Thanasis Antetokounmpo,antetth01,2023,RS,MIL,449,206,-5.560943206555014,-3.627845562121256,-9.18878876867627,-9.96491125632506,-8.988066030468332,-18.95297728679339,-6.801741892305085,-5.007212231156872,-11.80895412346196,-.9458333985969348,-.9458333985969348,0,-5.440427917147076,-5.202827996353292,-10.64325591350037,-.6650659555500715
Cole Anthony,anthoco01,2023,RS,ORL,3230,1552,1.926192275698233,-.5851746998297691,1.341017575868464,1.710628845684171,.225819987421474,1.936448833105645,2.040574494536858,-.4522838827650791,1.588290611771779,3.408401257345304,3.408401257345304,0,1.475952289128697,-.3861430958496748,1.089809193279022,-.787127162957966
