season,team,elo_rating,points,L,W,W%,conf,playoffs_y_n
2016,GSW,1800.0,9421.0,9,73,89.02,west,1
2016,SAS,1745.0,8490.0,15,67,81.71,west,1
2016,OKC,1630.0,9038.0,27,55,67.07,west,1
2016,LAC,1626.0,8569.0,29,53,64.63,west,1
2016,POR,1534.0,8622.0,38,44,53.66,west,1
2016,DAL,1531.0,8388.0,40,42,51.22,west,1
2016,MEM,1526.0,8126.0,40,42,51.22,west,1
2016,HOU,1530.0,8737.0,41,41,50.0,west,0
2016,UTA,1526.0,8010.0,42,40,48.78,west,0
2016,DEN,1437.0,8355.0,49,33,40.24,west,0
2016,SAC,1442.0,8740.0,49,33,40.24,west,0
2016,NOP,1461.0,8423.0,52,30,36.59,west,0
2016,MIN,1364.0,8398.0,53,29,35.37,west,0
2016,PHO,1395.0,8271.0,59,23,28.05,west,0
2016,LAL,1297.0,7982.0,65,17,20.73,west,0
2016,CLE,1661.0,8555.0,25,57,69.51,east,1
2016,TOR,1582.0,8422.0,26,56,68.29,east,1
2016,ATL,1558.0,8433.0,34,48,58.54,east,1
2016,BOS,1560.0,8669.0,34,48,58.54,east,1
2016,CHO,1505.0,8479.0,34,48,58.54,east,1
2016,MIA,1516.0,8204.0,34,48,58.54,east,1
2016,IND,1532.0,8377.0,37,45,54.88,east,1
2016,DET,1509.0,8361.0,38,44,53.66,east,0
2016,CHI,1517.0,8335.0,40,42,51.22,east,0
2016,WAS,1493.0,8534.0,41,41,50.0,east,0
2016,ORL,1421.0,8369.0,47,35,42.68,east,0
2016,MIL,1426.0,8122.0,49,33,40.24,east,0
2016,NYK,1393.0,8065.0,50,32,39.02,east,0
2016,BRK,1368.0,8089.0,61,21,25.61,east,0
2016,PHI,1249.0,7988.0,72,10,12.2,east,0
2017,GSW,1744.0,9503.0,15,67,81.71,west,1
2017,SAS,1702.0,8637.0,21,61,74.39,west,1
2017,HOU,1610.0,9458.0,27,55,67.07,west,1
2017,LAC,1607.0,8911.0,31,51,62.2,west,1
2017,UTA,1581.0,8258.0,31,51,62.2,west,1
2017,OKC,1597.0,8741.0,35,47,57.32,west,1
2017,MEM,1521.0,8239.0,39,43,52.44,west,1
2017,POR,1520.0,8851.0,41,41,50.0,west,0
