season,team,elo_rating,points,L,W,W%,conf,playoffs_y_n
2015,GSW,1707.0,9016,15,67,81.71,west,1
2015,LAC,1648.0,8751,26,56,68.29,west,1
2015,HOU,1618.0,8522,26,56,68.29,west,1
2015,SAS,1672.0,8461,27,55,67.07,west,1
2015,MEM,1622.0,8062,27,55,67.07,west,1
2015,POR,1620.0,8429,31,51,62.2,west,1
2015,DAL,1601.0,8628,32,50,60.98,west,1
2015,OKC,1581.0,8524,37,45,54.88,west,0
2015,NOP,1498.0,8147,37,45,54.88,west,0
2015,PHO,1541.0,8397,43,39,47.56,west,0
2015,UTA,1446.0,7801,44,38,46.34,west,0
2015,DEN,1449.0,8320,52,30,36.59,west,0
2015,SAC,1426.0,8310,53,29,35.37,west,0
2015,LAL,1374.0,8073,61,21,25.61,west,0
2015,MIN,1369.0,8016,66,16,19.51,west,0
2015,ATL,1608.0,8409,22,60,73.17,east,1
2015,CLE,1542.0,8457,29,53,64.63,east,1
2015,CHI,1567.0,8265,32,50,60.98,east,1
2015,TOR,1574.0,8527,33,49,59.76,east,1
2015,WAS,1538.0,8080,36,46,56.1,east,1
2015,MIL,1453.0,8023,41,41,50.0,east,1
2015,BOS,1418.0,8312,42,40,48.78,east,1
2015,IND,1478.0,7981,44,38,46.34,east,0
2015,BRK,1469.0,8038,44,38,46.34,east,0
2015,MIA,1490.0,7764,45,37,45.12,east,0
2015,CHO,1455.0,7721,49,33,40.24,east,0
2015,DET,1407.0,8077,50,32,39.02,east,0
2015,ORL,1340.0,7847,57,25,30.49,east,0
2015,PHI,1282.0,7542,64,18,21.95,east,0
2015,NYK,1356.0,7535,65,17,20.73,east,0
